               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.025154,            0.043823,            0.022565,             0.76102,             0.36378,             0.48861,             0.35472,            0.029376,            0.044326,            0.026266,           0.0075646,           0.0075646,           0.0075646
                 125,             0.02473,            0.038725,            0.023517,             0.80283,             0.35003,             0.49012,             0.33428,            0.031599,            0.047167,            0.026142,           0.0075448,           0.0075448,           0.0075448
                 126,             0.02588,            0.047208,            0.021605,             0.69513,             0.43604,             0.49407,             0.34468,            0.028674,            0.044809,            0.026095,            0.007525,            0.007525,            0.007525
                 127,            0.027597,            0.044578,            0.020929,             0.69451,             0.42257,             0.49501,             0.31765,             0.03159,            0.045527,            0.026069,           0.0075052,           0.0075052,           0.0075052
                 128,            0.028185,            0.044193,            0.022571,             0.70043,             0.42381,              0.4849,              0.3251,             0.03187,            0.046003,             0.02552,           0.0074854,           0.0074854,           0.0074854
                 129,            0.026907,            0.039009,            0.020978,             0.79806,             0.33646,             0.47134,              0.3177,            0.032435,            0.044722,            0.025423,           0.0074656,           0.0074656,           0.0074656
                 130,            0.027538,            0.044984,             0.02136,             0.69517,             0.41126,             0.49756,             0.32348,            0.031781,             0.04506,            0.025404,           0.0074458,           0.0074458,           0.0074458
                 131,            0.023839,            0.038054,            0.022328,              0.7264,             0.41625,             0.49112,             0.31452,            0.029785,            0.046645,            0.025485,            0.007426,            0.007426,            0.007426
                 132,            0.025233,            0.043001,            0.021285,             0.83261,             0.35961,             0.48181,             0.33623,            0.029329,             0.04652,            0.025464,           0.0074062,           0.0074062,           0.0074062
                 133,            0.024618,            0.043184,            0.021297,             0.79643,             0.34987,             0.47758,             0.32056,            0.030421,            0.046445,             0.02539,           0.0073864,           0.0073864,           0.0073864
                 134,            0.024003,            0.044135,            0.019564,             0.83647,             0.36417,             0.50931,              0.3533,            0.029542,            0.045978,            0.025382,           0.0073666,           0.0073666,           0.0073666
                 135,            0.028069,            0.042559,            0.022226,             0.63502,             0.50149,             0.52218,             0.34194,            0.033524,             0.04664,            0.025184,           0.0073468,           0.0073468,           0.0073468
                 136,            0.028099,            0.045656,            0.021023,             0.60378,               0.465,             0.49878,             0.34512,            0.032737,            0.045607,            0.024823,            0.007327,            0.007327,            0.007327
                 137,             0.02603,            0.039501,            0.020648,             0.64007,             0.48828,             0.51524,             0.36112,            0.027978,            0.044698,            0.024626,           0.0073072,           0.0073072,           0.0073072
                 138,            0.024166,            0.037706,            0.021165,             0.60373,             0.46439,             0.49896,             0.34837,            0.030407,            0.044536,            0.024536,           0.0072874,           0.0072874,           0.0072874
                 139,            0.022422,            0.037864,            0.021542,             0.75528,              0.4313,             0.51356,             0.36197,            0.028638,            0.044512,            0.024257,           0.0072676,           0.0072676,           0.0072676
                 140,            0.024993,            0.043506,            0.019308,             0.75262,             0.41301,             0.50706,             0.36859,            0.029702,            0.044687,            0.024152,           0.0072478,           0.0072478,           0.0072478
                 141,            0.025396,            0.040191,            0.019978,             0.65117,             0.46755,             0.50636,             0.34776,             0.03127,             0.04624,            0.024161,            0.007228,            0.007228,            0.007228
                 142,            0.024734,            0.042123,            0.018777,             0.75212,              0.4171,             0.50788,             0.35031,            0.029753,            0.045311,            0.024029,           0.0072082,           0.0072082,           0.0072082
                 143,             0.02677,            0.043802,            0.019306,             0.64659,             0.47717,             0.51027,              0.3713,            0.029016,            0.044503,            0.023918,           0.0071884,           0.0071884,           0.0071884
                 144,             0.02396,            0.039277,            0.019657,             0.65776,             0.46501,             0.50838,             0.35496,            0.030467,            0.046043,            0.023763,           0.0071686,           0.0071686,           0.0071686
                 145,            0.023956,            0.040303,            0.020214,              0.6625,             0.45633,             0.49679,             0.37528,              0.0285,            0.044666,            0.023637,           0.0071488,           0.0071488,           0.0071488
                 146,            0.023878,            0.039957,            0.017508,             0.64248,             0.46189,             0.51607,             0.37215,            0.030151,            0.047546,            0.023413,            0.007129,            0.007129,            0.007129
                 147,            0.023751,            0.038815,            0.019555,             0.65764,             0.46189,             0.53025,             0.36054,             0.03027,            0.045431,            0.023096,           0.0071092,           0.0071092,           0.0071092
                 148,            0.026397,            0.039634,             0.01964,             0.66882,             0.48084,             0.53995,             0.38125,            0.029812,            0.045353,            0.022897,           0.0070894,           0.0070894,           0.0070894
                 149,            0.024602,            0.044522,            0.017239,             0.66585,             0.46485,             0.53602,             0.38147,            0.028727,            0.044928,            0.022773,           0.0070696,           0.0070696,           0.0070696
